ZIP,CITY,STABBR,INSTNM,SCH_DEG,HIGHDEG,CONTROL,REGION,LOCALE,ADM_RATE,UGDS,TUITFTE,AGE_ENTRY,SECTOR
99645,Palmer,AK,Alaska Bible College,1,3,2,8,32,NULL,27,8132,21.71428571,Private
99507-1033,Anchorage,AK,Alaska Career College,1,2,3,8,11,NULL,479,11905,27.16057441,Private
99669,Soldotna,AK,Alaska Christian College,1,2,2,8,41,NULL,68,12989,23,Private
99508,Anchorage,AK,Alaska Pacific University,3,4,2,8,11,0.4207,275,13383,26.45528455,Private
99664-0889,Seward,AK,AVTEC-Alaska's Institute of Technology,1,2,1,8,43,NULL,889,4340,26.79310345,Public
99508,Anchorage,AK,Charter College-Anchorage,1,3,3,8,11,NULL,3256,8755,28.65056242,Private
99723,Barrow,AK,Ilisagvik College,1,2,1,8,41,NULL,109,3587,25.10204082,Public
99508,Anchorage,AK,University of Alaska Anchorage,3,4,1,8,11,NULL,12865,5843,25.12621155,Public
99775-7500,Fairbanks,AK,University of Alaska Fairbanks,3,4,1,8,23,NULL,5536,6491,25.78902148,Public
99801-8697,Juneau,AK,University of Alaska Southeast,3,4,1,8,33,NULL,1428,6117,26.71254355,Public
35762,Normal,AL,Alabama A & M University,3,4,1,5,12,0.5256,4206,9427,20.50256816,Public
36460,Monroeville,AL,Alabama Southern Community College,2,2,1,5,41,NULL,1180,1528,22.24173749,Public
35071,Gardendale,AL,Alabama State College of Barber Styling,1,1,3,5,21,NULL,25,4921,28.2,Private
36104-0271,Montgomery,AL,Alabama State University,3,4,1,5,12,0.5326,4811,7733,20.48787062,Public
36117-3553,Montgomery,AL,Amridge University,3,4,2,5,12,NULL,291,12459,33.66163142,Private
35611,Athens,AL,Athens State University,3,3,1,5,31,NULL,2991,5476,30.01345292,Public
36849,Auburn,AL,Auburn University,3,4,1,5,13,0.8347,20514,14135,20.53234266,Public
36117-3596,Montgomery,AL,Auburn University at Montgomery,3,4,1,5,12,0.8017,4304,8071,22.60947003,Public
35501,Jasper,AL,Bevill State Community College,2,2,1,5,32,NULL,3210,1961,23.64777328,Public
35254,Birmingham,AL,Birmingham Southern College,3,3,2,5,12,0.5339,1180,10266,19.70559611,Private
36603-5898,Mobile,AL,Bishop State Community College,2,2,1,5,12,NULL,2927,1494,25.01378205,Public
36606,Mobile,AL,Blue Cliff Career College,1,1,3,5,12,NULL,82,11460,26.93577982,Private
36606,Mobile,AL,Cardiac and Vascular Institute of Ultrasound,1,1,3,5,12,NULL,44,9259,27.55714286,Private
35010,Alexander City,AL,Central Alabama Community College,2,2,1,5,32,NULL,1592,2100,23.94027565,Public
36869,Phenix City,AL,Chattahoochee Valley Community College,2,2,1,5,41,NULL,1727,1641,25.37292308,Public
36561-9000,Orange Beach,AL,Columbia Southern University,3,4,3,5,31,NULL,15286,4520,34.51901336,Private
36701,Selma,AL,Concordia College Alabama,3,3,2,5,32,0.5328,322,5768,21.02425373,Private
36330-1300,Enterprise,AL,Enterprise State Community College,2,2,1,5,32,NULL,1729,2055,24.98635058,Public
36109-3390,Montgomery,AL,Faulkner University,3,4,2,5,12,NULL,2367,11127,27.98711063,Private
36535,Foley,AL,Fortis College-Foley,1,1,3,5,31,NULL,104,8630,28.53649635,Private
36608,Mobile,AL,Fortis College-Mobile,1,2,3,5,12,NULL,352,7909,27.46420824,Private
35903,Gadsden,AL,Gadsden State Community College,2,2,1,5,13,NULL,4917,1702,24.71793331,Public
36303-9234,Dothan,AL,George C Wallace State Community College-Dothan,2,2,1,5,41,NULL,4293,1928,24.87796124,Public
35077-2000,Hanceville,AL,George C Wallace State Community College-Hanceville,2,2,1,5,32,NULL,4920,2551,24.57629074,Public
36703-2808,Selma,AL,George C Wallace State Community College-Selma,2,2,1,5,32,NULL,1513,1184,23.45975345,Public
36108-3199,Montgomery,AL,H Councill Trenholm State Community College,1,2,1,5,12,NULL,1230,2493,26.40617577,Public
36111-2201,Montgomery,AL,Hair Academy,1,1,3,5,12,NULL,12,3893,26.5625,Private
35630-9977,Florence,AL,Heritage Christian University,3,4,2,5,13,1,62,10966,29.09375,Private
36106-2148,Montgomery,AL,Huntingdon College,3,3,2,5,12,0.5839,1149,10131,24.19005848,Private
35811-1632,Huntsville,AL,Huntsville Bible College,2,3,2,5,12,NULL,118,2792,40.88,Private
35811,Huntsville,AL,J F Drake State Community and Technical College,1,2,1,5,12,NULL,974,1292,28.77587844,Public
36265,Jacksonville,AL,Jacksonville State University,3,4,1,5,13,0.8326,7060,6447,23.13948919,Public
36507-2698,Bay Minette,AL,James H Faulkner State Community College,2,2,1,5,32,NULL,4286,2423,24.24797688,Public
36426,Brewton,AL,Jefferson Davis Community College,2,2,1,5,32,NULL,1033,1178,24.84626234,Public
35215-3098,Birmingham,AL,Jefferson State Community College,2,2,1,5,12,NULL,7443,2708,24.7702089,Public
35671,Tanner,AL,John C Calhoun State Community College,2,2,1,5,41,NULL,9380,3170,24.83206673,Public
36756,Marion,AL,Judson College,3,3,2,5,43,0.6525,376,8101,25.6056338,Private
35221-1717,Birmingham,AL,Lawson State Community College-Birmingham Campus,1,2,1,5,12,NULL,2905,1374,24.95577299,Public
36420-1418,Andalusia,AL,Lurleen B Wallace Community College,1,2,1,5,41,NULL,1393,1684,23.37368421,Public
36756-3207,Marion,AL,Marion Military Institute,2,2,1,5,43,0.6139,433,3286,19.77339902,Public
35064-2621,Fairfield,AL,Miles College,3,3,2,5,21,NULL,1778,5202,21.10958904,Private
35951,Albertville,AL,New Beginning College of Cosmetology,1,1,3,5,32,NULL,115,7986,24.5,Private
35986,Rainsville,AL,Northeast Alabama Community College,2,2,1,5,42,NULL,2225,1845,23.5531386,Public
35661,Muscle Shoals,AL,Northwest-Shoals Community College,2,2,1,5,13,NULL,3304,1624,23.46933011,Public
35208,Birmingham,AL,Nunation School of Cosmetology,NULL,0,3,5,12,NULL,13,15475,31.07142857,Private
35896,Huntsville,AL,Oakwood University,3,4,2,5,12,0.4787,1878,11693,22.04146342,Private
35216,Hoover,AL,Paul Mitchell the School-Birmingham,1,1,3,5,13,NULL,174,9633,23.78403756,Private
35758,Madison,AL,Paul Mitchell the School-Huntsville,1,1,3,5,21,NULL,149,10194,24.32515337,Private
36401,Evergreen,AL,Reid State Technical College,1,2,1,5,41,NULL,425,1888,25.3575,Public
35229-2240,Birmingham,AL,Samford University,3,4,2,5,21,0.5954,3033,18352,21.24648787,Private
36701,Selma,AL,Selma University,3,4,2,5,32,NULL,472,7596,25.82325581,Private
35405-8522,Tuscaloosa,AL,Shelton State Community College,2,2,1,5,13,NULL,4755,2132,22.94962753,Public
35957-0734,Boaz,AL,Snead State Community College,2,2,1,5,32,NULL,2098,2171,23.92621576,Public
35244-2083,Birmingham,AL,Southeastern Bible College,3,3,2,5,21,1,170,10634,32.85321101,Private
35208-2706,Birmingham,AL,Southeastern School of Cosmetology,1,1,2,5,12,NULL,60,769,28.74137931,Private
36276,Wadley,AL,Southern Union State Community College,2,2,1,5,43,NULL,4487,2131,23.00392285,Public
36608-1791,Mobile,AL,Spring Hill College,3,4,2,5,12,0.5177,1215,12082,20.0481203,Private
35401,Tuscaloosa,AL,Stillman College,3,3,2,5,13,0.5901,1056,21345,21.00505051,Private
35160,Talladega,AL,Talladega College,3,3,2,5,32,NULL,819,18039,21.08,Private
35816,Huntsville,AL,The Salon Professional Academy-Huntsville,1,1,3,5,12,NULL,51,7437,24.65432099,Private
35487-0166,Tuscaloosa,AL,The University of Alabama,3,4,1,5,13,0.5105,29851,12791,21.30435286,Public
36082-0001,Troy,AL,Troy University,3,4,1,5,41,0.4414,15025,8632,27.48690946,Public
360825327,Troy,AL,Troy University-eTROY,3,0,1,5,NULL,NULL,NULL,NULL,27.48690946,Public
360825327,Troy,AL,Troy University-Global Campus,3,0,1,5,NULL,NULL,NULL,NULL,27.48690946,Public
36088-1920,Tuskegee,AL,Tuskegee University,3,4,2,5,32,0.4922,2588,14104,19.75340272,Private
36526-7055,Daphne,AL,United States Sports Academy,3,4,2,5,13,NULL,90,14687,30.02,Private
35476-3100,Northport,AL,University Academy of Hair Design,1,1,3,5,22,NULL,43,6616,24.35087719,Private
35294-0110,Birmingham,AL,University of Alabama at Birmingham,3,4,1,5,12,0.8569,11383,9899,23.40861782,Public
35899,Huntsville,AL,University of Alabama in Huntsville,3,4,1,5,12,0.8203,5451,8956,23.78302361,Public
36613-2842,Mobile,AL,University of Mobile,3,4,2,5,41,0.5847,1460,9947,23.41598916,Private
35115-6000,Montevallo,AL,University of Montevallo,3,4,1,5,21,0.743,2644,7568,21.61096375,Public
35632-0001,Florence,AL,University of North Alabama,3,4,1,5,13,0.6788,5485,6702,22.1977692,Public
36688-0002,Mobile,AL,University of South Alabama,3,4,1,5,12,0.8335,11267,7295,22.46953264,Public
35470,Livingston,AL,University of West Alabama,3,4,1,5,43,0.7199,1916,7928,22.35918004,Public
35209,Birmingham,AL,Virginia College-Birmingham,2,4,3,5,12,NULL,2711,20547,29.1293274,Private
71923,Arkadelphia,AR,ABC Beauty College Inc,1,1,3,5,32,NULL,38,6541,26.11111111,Private
72901,Fort Smith,AR,Academy of Salon and Spa,1,1,3,5,13,NULL,102,8019,25.75333333,Private
72202-6068,Little Rock,AR,Arkansas Baptist College,3,3,2,5,12,NULL,896,8166,22.23830935,Private
72801,Russellville,AR,Arkansas Beauty College,1,1,3,5,33,NULL,33,7668,24.78787879,Private
72032,Conway,AR,Arkansas Beauty School,1,1,3,5,13,NULL,20,5122,28.17021277,Private
72209,Little Rock,AR,Arkansas Beauty School-Little Rock,1,1,3,5,12,NULL,49,5590,28.97222222,Private
72114,North Little Rock,AR,Arkansas College of Barbering and Hair Design,1,1,3,5,13,NULL,204,8127,26.81125828,Private
72316-1109,Blytheville,AR,Arkansas Northeastern College,1,2,1,5,41,NULL,1037,1285,23.88027211,Public
72301-3829,West Memphis,AR,Arkansas State University Mid-South,1,2,1,5,21,NULL,1127,7747,25.50364204,Public
72012-1000,Beebe,AR,Arkansas State University-Beebe,1,2,1,5,31,NULL,2999,1750,23.10964187,Public
72401,Jonesboro,AR,Arkansas State University-Main Campus,3,4,1,5,13,0.7239,9139,3633,23.3986698,Public
72112,Newport,AR,Arkansas State University-Newport,1,2,1,5,42,NULL,1455,2061,26.44392795,Public
72801-2222,Russellville,AR,Arkansas Tech University,3,4,1,5,33,0.8626,8845,3668,24.50240674,Public
72901-3342,Fort Smith,AR,Arthur's Beauty College Inc-Fort Smith,1,1,3,5,13,NULL,46,11169,26.69178082,Private
72076,Jacksonville,AR,Arthur's Beauty College Inc-Jacksonville,1,1,3,5,21,NULL,56,10747,25.57352941,Private
72210-2820,Little Rock,AR,Baptist Health College-Little Rock,1,1,2,5,12,0.6154,802,4441,26.82549317,Private
72455,Pocahontas,AR,Black River Technical College,1,2,1,5,41,NULL,1547,1435,25.80840336,Public
72764-7128,Springdale,AR,Career Academy of Hair Design,1,1,3,5,13,NULL,344,11468,26.56231003,Private
72034,Conway,AR,Central Baptist College,3,3,2,5,13,0.5697,788,8783,25.11715481,Private
72104-0816,Malvern,AR,College of the Ouachitas,1,2,1,5,31,NULL,810,1606,26.99265786,Public
71832,De Queen,AR,Cossatot Community College of the University of Arkansas,1,2,1,5,41,NULL,1033,1165,24.22746781,Public
71635,Crossett,AR,Credence Institute of Beauty,1,1,3,5,33,NULL,18,9038,25.07142857,Private
72450,Paragould,AR,Crowley's Ridge College,2,3,2,5,41,NULL,173,7679,20.72580645,Private
72335-0925,Forrest City,AR,Crowley's Ridge Technical Institute,1,1,1,5,32,NULL,212,439,25.98972603,Public
72903-3753,Ft Smith,AR,Designer Barber & Stylist School,NULL,1,3,5,13,NULL,50,4903,26.63157895,Private
72335-2204,Forrest City,AR,East Arkansas Community College,1,2,1,5,32,NULL,732,1538,22.20812183,Public
72205,Little Rock,AR,Eastern College of Health Vocations-Little Rock,1,1,3,5,12,NULL,205,5332,26.58718573,Private
72762,Springdale,AR,Ecclesia College,3,3,2,5,41,0.6429,164,12353,22.51461988,Private
72143,Searcy,AR,Harding University,3,4,2,5,32,0.9912,4485,12463,21.33125778,Private
71999-0001,Arkadelphia,AR,Henderson State University,3,4,1,5,32,0.6278,3226,3067,22.0356383,Public
72032-3080,Conway,AR,Hendrix College,3,4,2,5,13,0.8282,1322,11902,19.48340249,Private
71901,Hot Springs,AR,Hot Springs Beauty College,1,1,3,5,13,NULL,43,9965,27.046875,Private
